Date,Clicks,Impressions,CTR,Position
2026-08-24,2,501,0.4%,35.3
2026-08-25,2,427,0.47%,26.7
2026-08-26,2,468,0.43%,34.6
2026-08-27,5,382,1.31%,28.3
2026-08-28,1,362,0.28%,31.9
2026-08-29,5,313,1.6%,35.7
2026-08-30,3,367,0.82%,33.4
2026-08-31,0,525,0%,31.1
2026-09-01,3,694,0.43%,21.6
2026-09-02,1,332,0.3%,31.1
2026-09-03,2,375,0.53%,36
2026-09-04,2,337,0.59%,34.2
2026-09-05,1,244,0.41%,31.9
2026-09-06,1,285,0.35%,32.3
2026-09-07,3,426,0.7%,27.7
2026-09-08,1,421,0.24%,21.2
2026-09-09,1,368,0.27%,28.8
2026-09-10,4,244,1.64%,23.7
2026-09-11,1,204,0.49%,23.6
2026-09-12,0,250,0%,30.6
2026-09-13,1,251,0.4%,27.5
2026-09-14,3,338,0.89%,20.8
2026-09-15,4,300,1.33%,27.8
2026-09-16,3,261,1.15%,18.2
2026-09-17,0,286,0%,21.2
2026-09-18,2,239,0.84%,17.6
2026-09-19,1,182,0.55%,20.8
2026-09-20,2,159,1.26%,26.5
