Country,Clicks,Impressions,CTR,Position
United States,56,9251,0.61%,27.98
India,0,28,0%,93.25
United Kingdom,0,26,0%,17.77
Philippines,0,22,0%,29.18
Brazil,0,16,0%,35.44
Vietnam,0,15,0%,46.53
Canada,0,12,0%,13.42
France,0,12,0%,31
Turkey,0,12,0%,46.83
Mexico,0,10,0%,40.8
Indonesia,0,9,0%,38.44
Bangladesh,0,9,0%,51.33
Argentina,0,8,0%,22.5
Germany,0,8,0%,32.62
South Korea,0,7,0%,25.57
Spain,0,7,0%,31.43
Netherlands,0,6,0%,18.17
Nigeria,0,5,0%,12
Japan,0,5,0%,24.4
United Arab Emirates,0,4,0%,7.75
Italy,0,4,0%,18.25
Portugal,0,4,0%,22.25
Colombia,0,4,0%,24.75
Saudi Arabia,0,4,0%,30.5
Dominican Republic,0,4,0%,32
Thailand,0,4,0%,56.75
Russia,0,3,0%,15.67
Romania,0,3,0%,18.67
Tunisia,0,3,0%,45.67
Morocco,0,3,0%,54.67
U.S. Virgin Islands,0,2,0%,1
Egypt,0,2,0%,36
Chile,0,2,0%,37.5
Malaysia,0,2,0%,64
Greece,0,1,0%,1
Serbia,0,1,0%,3
Martinique,0,1,0%,8
Taiwan,0,1,0%,10
Rwanda,0,1,0%,22
Nepal,0,1,0%,27
Sweden,0,1,0%,27
Kenya,0,1,0%,29
Ukraine,0,1,0%,30
Jordan,0,1,0%,33
Cambodia,0,1,0%,34
Hungary,0,1,0%,35
Bolivia,0,1,0%,36
Bulgaria,0,1,0%,38
Ecuador,0,1,0%,38
Syria,0,1,0%,38
Ethiopia,0,1,0%,39
Poland,0,1,0%,40
Hong Kong,0,1,0%,42
New Zealand,0,1,0%,43
Paraguay,0,1,0%,44
Singapore,0,1,0%,49
Israel,0,1,0%,54
Ireland,0,1,0%,91
Australia,0,1,0%,96
